epoch,train loss,reg loss,train acc,test loss,test acc
0,0.6325163749917861,0.0,tensor(66.7163),0.8817443946997324,tensor(50)
1,0.6495263922599054,0.0,tensor(64.6825),0.9602450430393219,tensor(49)
2,0.6201342608659498,0.0,tensor(68.5020),0.8358371158440908,tensor(50)
3,0.6076689343298635,0.0,tensor(69.3948),0.8716959555943807,tensor(55)
4,0.6044523672711465,0.0,tensor(69.8413),0.9371547400951385,tensor(50)
5,0.5912409559372933,0.0,tensor(71.6270),0.9371188481648763,tensor(50)
6,0.5713245537011854,0.0,tensor(73.7599),0.8089960018793741,tensor(49)
7,0.6121037338049181,0.0,tensor(70.2381),0.9373404781023661,tensor(50)
8,0.7228011229345875,0.0,tensor(59.4246),0.960933675368627,tensor(49)
9,0.5997107514450627,0.0,tensor(70.7837),0.9153109490871429,tensor(50)
10,0.5757074831954895,0.0,tensor(73.0159),0.7210772385199865,tensor(67)
11,0.5609796816302884,0.0,tensor(75.0992),0.9373467365900675,tensor(50)
12,0.5432472176128819,0.0,tensor(77.1825),0.9602136512597402,tensor(49)
13,0.5368239634460018,0.0,tensor(77.4802),0.9373467365900675,tensor(50)
14,0.6132743704703546,0.0,tensor(68.7996),0.9602598249912262,tensor(49)
15,0.629414594461841,0.0,tensor(67.5595),0.9602634410063425,tensor(49)
16,0.5982674163195395,0.0,tensor(71.1806),0.9602656066417694,tensor(49)
17,0.5786775004479193,0.0,tensor(72.9663),0.9602587223052979,tensor(49)
18,0.5925555690642326,0.0,tensor(71.3294),0.7818676928679148,tensor(59)
19,0.5267742098339142,0.0,tensor(78.4226),0.9138553440570831,tensor(51)
20,0.5227813139077155,0.0,tensor(79.0179),0.9608470400174459,tensor(49)
21,0.5564090109640553,0.0,tensor(75.2480),0.9316243131955465,tensor(51)
22,0.5278693860576998,0.0,tensor(78.2738),0.9589879512786865,tensor(49)
23,0.5013221314837856,0.0,tensor(81.0516),0.961461196343104,tensor(49)
24,0.49730770530239227,0.0,tensor(81.9940),0.9373462001482645,tensor(50)
25,0.4841164893681003,0.0,tensor(83.3829),0.9602634410063425,tensor(49)
26,0.4775883420821159,0.0,tensor(84.0774),0.9337058961391449,tensor(51)
27,0.48219003360117635,0.0,tensor(83.2341),0.9373221000035604,tensor(50)
28,0.48134027421474457,0.0,tensor(83.5317),0.9602632721265157,tensor(49)
29,0.4696851887049214,0.0,tensor(84.7222),0.9956758519013723,tensor(46)
30,0.4581968467081747,0.0,tensor(86.4087),0.9601493179798126,tensor(49)
31,0.46861441096951884,0.0,tensor(84.8710),0.839834084113439,tensor(54)
32,0.4512725842575873,0.0,tensor(87.2520),0.9576178391774496,tensor(49)
33,0.4428832603077735,0.0,tensor(87.9960),0.9572942952315012,tensor(49)
34,0.4489301486361411,0.0,tensor(87.0536),0.806627114613851,tensor(59)
35,0.43922983975179736,0.0,tensor(87.8472),0.9601182540257772,tensor(49)
36,0.43208345770835876,0.0,tensor(88.6905),0.9249718089898428,tensor(50)
37,0.4341010129259479,0.0,tensor(88.5417),0.9600119094053904,tensor(49)
38,0.42887231178822055,0.0,tensor(89.2361),0.9593890905380249,tensor(49)
39,0.43035018347924753,0.0,tensor(88.9385),0.875489224990209,tensor(54)
40,0.4192233253871241,0.0,tensor(90.3274),0.9602067867914835,tensor(49)
41,0.4087750700212294,0.0,tensor(91.5179),0.799477775891622,tensor(57)
42,0.3967848876791616,0.0,tensor(92.7083),0.9461313386758169,tensor(49)
43,0.3967050337983716,0.0,tensor(92.6587),0.5507543285687765,tensor(83)
44,0.3909006570616076,0.0,tensor(93.3532),0.8076660732428232,tensor(59)
45,0.39360771880995843,0.0,tensor(92.8571),0.7768907149632772,tensor(64)
46,0.3850880832441391,0.0,tensor(93.5516),0.7352583905061086,tensor(64)
47,0.37441570864569756,0.0,tensor(94.6925),0.6898602296908697,tensor(70)
48,0.3768269246624362,0.0,tensor(94.5436),0.6919314463933309,tensor(69)
49,0.37470505554829875,0.0,tensor(94.6925),0.5703168859084448,tensor(79)
50,0.37787428450199867,0.0,tensor(94.1964),0.6626248955726624,tensor(71)
51,0.38710316486897006,0.0,tensor(93.3036),0.9610331058502197,tensor(48)
52,0.36341937078583625,0.0,tensor(95.6845),0.6594799856344858,tensor(74)
53,0.35500467256192236,0.0,tensor(96.9246),0.9612742861111959,tensor(48)
54,0.35729521080370874,0.0,tensor(96.5278),0.5921895503997803,tensor(80)
55,0.36007055447947595,0.0,tensor(96.3294),0.5975259194771448,tensor(79)
56,0.35122516126401965,0.0,tensor(97.3710),0.7013917167981466,tensor(69)
57,0.3464908205693768,0.0,tensor(97.6686),0.770540177822113,tensor(63)
58,0.3469243996566342,0.0,tensor(97.6686),0.5991932253042856,tensor(79)
59,0.3400734100610979,0.0,tensor(98.4623),0.7824297199646632,tensor(63)
60,0.33882667941431843,0.0,tensor(98.3631),0.7967897156874338,tensor(62)
61,0.3395502985485138,0.0,tensor(98.2639),0.7947117984294891,tensor(60)
62,0.33791565943148827,0.0,tensor(98.3135),0.6160681694746017,tensor(78)
63,0.3346944191763478,0.0,tensor(98.8591),0.6459145198265711,tensor(74)
64,0.3324889040762378,0.0,tensor(99.0079),0.7940608561038971,tensor(60)
65,0.33011622246234645,0.0,tensor(99.1071),0.5812409371137619,tensor(79)
66,0.33251417788767046,0.0,tensor(98.8591),0.8216001689434052,tensor(59)
67,0.3343501725504475,0.0,tensor(98.7103),0.9701011677583059,tensor(48)
68,0.3336273782676266,0.0,tensor(98.8095),0.6875558892885844,tensor(71)
69,0.341380073178199,0.0,tensor(97.9167),0.8186513086160024,tensor(58)
70,0.34002915697713054,0.0,tensor(98.3135),0.9073214133580526,tensor(50)
71,0.3303077081518789,0.0,tensor(99.1567),0.5958735843499502,tensor(80)
72,0.3291036664478241,0.0,tensor(99.1567),0.6303740044434866,tensor(75)
73,0.330876414814303,0.0,tensor(99.0575),0.8307050367196401,tensor(58)
74,0.328632005280064,0.0,tensor(99.2064),0.6892039875189463,tensor(68)
75,0.3250127929833628,0.0,tensor(99.5040),0.6812754472096761,tensor(69)
76,0.32478901263206233,0.0,tensor(99.5040),0.7592760523160299,tensor(64)
77,0.3246826803491962,0.0,tensor(99.6032),0.6070870061715444,tensor(78)
78,0.32353896912067165,0.0,tensor(99.6032),0.659303272763888,tensor(73)
79,0.32286427722823235,0.0,tensor(99.6528),0.7788045108318329,tensor(62)
80,0.3237733840942383,0.0,tensor(99.5536),0.6273425122102102,tensor(76)
81,0.3233629719864938,0.0,tensor(99.6032),0.6414453387260437,tensor(73)
82,0.3220541650249112,0.0,tensor(99.7520),0.6571272363265356,tensor(73)
83,0.32263739503199057,0.0,tensor(99.7024),0.7717204292615255,tensor(62)
84,0.32185224563844744,0.0,tensor(99.8016),0.6684203147888184,tensor(72)
85,0.32254490688923865,0.0,tensor(99.6528),0.6565279265244802,tensor(71)
86,0.3218853247742499,0.0,tensor(99.7520),0.6700023611386617,tensor(70)
87,0.32146596091408886,0.0,tensor(99.7520),0.6788656115531921,tensor(72)
88,0.3210860836890436,0.0,tensor(99.8016),0.6568876852591833,tensor(73)
89,0.3217814617579983,0.0,tensor(99.8016),0.6103148510058721,tensor(76)
90,0.3214572249881683,0.0,tensor(99.7520),0.6418531388044357,tensor(74)
91,0.320902758067654,0.0,tensor(99.8016),0.598901187380155,tensor(78)
92,0.32111644937146094,0.0,tensor(99.8016),0.6073528776566187,tensor(76)
93,0.3208948340146772,0.0,tensor(99.8016),0.6051207731167475,tensor(76)
94,0.32077606310767515,0.0,tensor(99.8016),0.629995400706927,tensor(74)
95,0.32171921864632635,0.0,tensor(99.7520),0.7332468926906586,tensor(68)
